GEG3055-001,여대생 진로와 경력개발,전체,2,교양선택,Pass/Fail,월,13_16,본관소강당,박주신
GEG3061-001,인하특강 : 기업가 정신과 창업,전체,3,교양선택,Pass/Fail,목,16_21,60주년-201,유홍성
GEG3061-001,인하특강 : 기업가 정신과 창업,전체,3,교양선택,Pass/Fail,목,16_21,60주년-201,유홍성
GEG3061-002,인하특강 : 기업가 정신과 창업,전체,3,교양선택,Pass/Fail,수,16_21,본관중강당,소국천
GEG3061-002,인하특강 : 기업가 정신과 창업,전체,3,교양선택,Pass/Fail,수,16_21,본관중강당,소국천
GEG3061-003,인하특강 : 기업가 정신과 창업,전체,3,교양선택,Pass/Fail,목,10_15,60주년-607,신한용
GEG3061-003,인하특강 : 기업가 정신과 창업,전체,3,교양선택,Pass/Fail,목,10_15,60주년-607,신한용
GEG3062-001,인하특강 : 언론을 통한 세상보기,전체,2,교양선택,Pass/Fail,금,3_6,본관대강당,이장현
GEG3066-001,세상을 바꾸는 스타트업 이야기,전체,3,교양선택,Pass/Fail,셀,0_0,웹강의,손동원_유홍성_허원창_임성훈
GEG3066-001,세상을 바꾸는 스타트업 이야기,전체,3,교양선택,Pass/Fail,셀,0_0,웹강의,손동원_유홍성_허원창_임성훈
GEG3070-001,인하 스콜라 특강,전체,1,교양선택,Pass/Fail,화,7_8,60주년-108,김원식
GEG3072-001,벤처기업과 히든챔피언에 대한 이해,전체,3,교양선택,Pass/Fail,목,13_18,9-203,박세영_박세영
GEG3072-001,벤처기업과 히든챔피언에 대한 이해,전체,3,교양선택,Pass/Fail,목,13_18,9-203,박세영_박세영
GEG3073-001,창의적 사고와 SW 입문 교육,전체,3,교양선택,상대평가,목-목,4_5-6_9,서-224A 5남236B,한영신
GEG3073-001,창의적 사고와 SW 입문 교육,전체,3,교양선택,상대평가,목-목,4_5-6_9,서-224A 5남236B,한영신
GEG3073-002,창의적 사고와 SW 입문 교육,전체,3,교양선택,상대평가,금,1_6,5남236B,한영신
GEG3073-002,창의적 사고와 SW 입문 교육,전체,3,교양선택,상대평가,금,1_6,5남236B,한영신
GEG3073-003,창의적 사고와 SW 입문 교육,전체,3,교양선택,상대평가,수-수,1_2-3_6,서-228 5동116A,한영신
GEG3073-003,창의적 사고와 SW 입문 교육,전체,3,교양선택,상대평가,수-수,1_2-3_6,서-228 5동116A,한영신
GEG3078-001,취업 및 창업 특강,전체,2,교양선택,Pass/Fail,수,9_12,본관대강당,박주신
GEG3078-001,취업 및 창업 특강,전체,2,교양선택,Pass/Fail,수,9_12,본관대강당,박주신
GEG3078-002,취업 및 창업 특강,전체,2,교양선택,Pass/Fail,수,13_16,본관대강당,박주신
GEG3078-002,취업 및 창업 특강,전체,2,교양선택,Pass/Fail,수,13_16,본관대강당,박주신
GEG3079-001,알기 쉬운 프로그래밍,전체,3,교양선택,상대평가,셀,0_0,웹강의,박승보
GEG3079-001,알기 쉬운 프로그래밍,전체,3,교양선택,상대평가,셀,0_0,웹강의,박승보
GEG3081-001,인문학도를 위한 프로그래밍,전체,3,교양선택,상대평가,화-목,13_16-4_7,5동116A 60주년-112,이경자
GEG3081-001,인문학도를 위한 프로그래밍,전체,3,교양선택,상대평가,화-목,13_16-4_7,5동116A 60주년-112,이경자
GEG3082-001,사내기업가정신의 이해,전체,3,교양선택,Pass/Fail,화,13_18,60주년-610,이동원
GEG3082-001,사내기업가정신의 이해,전체,3,교양선택,Pass/Fail,화,13_18,60주년-610,이동원
GEG3085-001,사회 서비스 프로젝트,전체,3,교양선택,Pass/Fail,화,10_15,5서460,정무호
GEG3090-001,사회혁신과 소셜벤처,전체,2,교양선택,Pass/Fail,목,4_7,60주년-610,유홍성_전상융
GEG3091-001,스타트업시작의 이해,전체,3,교양선택,Pass/Fail,셀-화,0_0-20_22,웹강의 60주년-101,유홍성
GEG3092-001,스타트업 아이디어 발상,전체,3,교양선택,Pass/Fail,화,1_6,60주년-609,김종배
GEG3093-001,창업 시뮬레이션,전체,3,교양선택,Pass/Fail,목,1_6,60주년-609,김종배
GEG3094-001,실전 스타트업,전체,3,교양선택,Pass/Fail,화,13_18,60주년-609,유홍성_김원태_민석준
GEG4002-001,건강한 체중조절을 위한 맞춤영양,전체,3,교양선택,상대평가,셀,0_0,웹강의,장경자
GEG4006-001,댄스스포츠,전체,1,교양선택,상대평가,월,4_7,60주년-609,이윤경
GEG4006-002,댄스스포츠,전체,1,교양선택,상대평가,월,9_12,60주년-609,이윤경
GEG4006-003,댄스스포츠,전체,1,교양선택,상대평가,수,5_8,5서369,장소정
GEG4006-004,댄스스포츠,전체,1,교양선택,상대평가,수,9_12,5서156,장소정
GEG4007-001,수영,전체,1,교양선택,상대평가,목,7_10,5남136,윤채빈
GEG4007-002,수영,전체,1,교양선택,상대평가,목,10_13,서-406,천성민
GEG4007-003,수영,전체,1,교양선택,상대평가,금,10_13,추후공지,천성민
GEG4007-004,수영,전체,1,교양선택,상대평가,화,9_12,5서369,윤채빈
GEG4007-005,수영,전체,1,교양선택,상대평가,수,7_10,서-341,한이준
GEG4008-001,테니스,전체,1,교양선택,상대평가,수,13_16,추후공지,김경민
GEG4008-002,테니스,전체,1,교양선택,상대평가,금,13_16,서-401,김경민
GEG4008-003,테니스,전체,1,교양선택,상대평가,화,1_4,5서365,정문용
GEG4008-004,테니스,전체,1,교양선택,상대평가,수,9_12,서-406,권영문
GEG4008-005,테니스,전체,1,교양선택,상대평가,월,17_20,추후공지,김남훈
GEG4008-006,테니스,전체,1,교양선택,상대평가,화,9_12,5남334,권영문
GEG4011-001,요가와 명상,전체,1,교양선택,상대평가,금,1_4,60주년-510,이나영
GEG4011-002,요가와 명상,전체,1,교양선택,상대평가,금,5_8,60주년-510,이나영
GEG4011-003,요가와 명상,전체,1,교양선택,상대평가,목,4_7,60주년-106,최지아
GEG4011-004,요가와 명상,전체,1,교양선택,상대평가,화,5_8,5동211,김수진
GEG4012-001,호신술,전체,1,교양선택,상대평가,월,10_13,5서160,서정은
GEG4012-002,호신술,전체,1,교양선택,상대평가,수,10_13,추후공지,이상현
GEG4013-002,골프,전체,1,교양선택,상대평가,월,9_12,60주년-607,정태욱
GEG4013-003,골프,전체,1,교양선택,상대평가,목,4_7,5동211,김영욱
GEG4013-004,골프,전체,1,교양선택,상대평가,목,9_12,5서365,서호정
GEG4015-001,야구소프트볼,전체,1,교양선택,상대평가,수,9_12,60주년-106,소병훈
GEG4015-002,야구소프트볼,전체,1,교양선택,상대평가,수,13_16,5남333,한이준
GEG4015-003,야구소프트볼,전체,1,교양선택,상대평가,수,4_7,60주년-106,김영욱
GEG4015-004,야구소프트볼,전체,1,교양선택,상대평가,화,5_8,5서365,김영욱
GEG4017-001,창작을 위한 글쓰기,전체,3,교양선택,상대평가,화,7_12,서-241,안보윤
GEG4022-001,서양음악사,전체,3,교양선택,상대평가,금,7_12,5남332,반율리
